                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3885,                 5.0864,                 2.9198,                0.10951,                 0.1819,                0.06781,                0.01629,                 3.2578,                 2.4154,                 1.5898,               0.070221,              0.0033088,              0.0033088
                      2,                  2.812,                 2.2608,                 1.4129,                0.32018,                0.36272,                0.28803,                0.10125,                 2.5751,                 1.9571,                 1.2468,               0.040179,              0.0066011,              0.0066011
                      3,                 2.3495,                 1.7294,                 1.2333,                0.45389,                0.72783,                0.56718,                0.25903,                 1.9117,                  1.677,                 1.0475,               0.010097,               0.009852,               0.009852
                      4,                 1.9638,                 1.3284,                  1.096,                 0.7772,                0.79686,                 0.8469,                0.46401,                   1.54,                0.98158,                0.94661,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.7137,                 1.0736,                  1.025,                0.75584,                0.75716,                0.83067,                0.48158,                  1.438,                 1.0009,                 0.9237,              0.0098144,              0.0098144,              0.0098144
                      6,                 1.5745,                 0.9515,                0.98474,                0.82675,                0.84299,                0.89862,                0.55816,                 1.3431,                0.85906,                0.90183,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4909,                0.87785,                0.96173,                0.89902,                0.88468,                0.94251,                 0.5918,                 1.4256,                0.80966,                0.90885,              0.0096906,              0.0096906,              0.0096906
                      8,                 1.4082,                0.83056,                0.94843,                0.88138,                0.88913,                0.93341,                  0.612,                 1.2359,                0.79484,                0.88355,              0.0096288,              0.0096288,              0.0096288
                      9,                 1.3794,                0.80284,                0.93811,                0.89979,                0.89335,                0.94647,                0.61901,                 1.2788,                0.74216,                0.88308,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.3374,                0.77065,                0.92665,                0.92904,                0.89832,                0.96535,                 0.6655,                 1.1734,                0.69258,                0.86357,               0.009505,               0.009505,               0.009505
                     11,                 1.3058,                0.74149,                0.92224,                0.90784,                0.91219,                0.95443,                0.65607,                 1.1575,                0.71868,                0.86356,              0.0094431,              0.0094431,              0.0094431
                     12,                 1.2767,                0.72512,                0.91525,                0.89964,                0.90892,                0.95569,                0.65357,                 1.1612,                0.69893,                0.86562,              0.0093813,              0.0093813,              0.0093813
